Position, Time
0.00,0.10
Position, Time
4.85,0.10
9.60,0.20
14.26,0.30
18.82,0.40
23.28,0.50
27.64,0.60
31.90,0.70
36.06,0.80
40.13,0.90
44.10,1.00
47.97,1.10
51.74,1.20
55.42,1.30
59.00,1.40
62.48,1.50
65.86,1.60
69.14,1.70
72.32,1.80
75.41,1.90
78.40,2.00
81.29,2.10
84.08,2.20
86.78,2.30
89.38,2.40
91.88,2.50
94.28,2.60
96.58,2.70
98.78,2.80
100.89,2.90
102.90,3.00
104.81,3.10
106.62,3.20
108.34,3.30
109.96,3.40
111.48,3.50
112.90,3.60
114.22,3.70
115.44,3.80
116.57,3.90
117.60,4.00
118.53,4.10
119.36,4.20
120.10,4.30
120.74,4.40
121.28,4.50
121.72,4.60
122.06,4.70
122.30,4.80
122.45,4.90
122.50,5.00
122.45,5.10
122.30,5.20
122.06,5.30
121.72,5.40
121.28,5.50
120.74,5.60
120.10,5.70
119.36,5.80
118.53,5.90
117.60,6.00
116.57,6.10
115.44,6.20
114.22,6.30
112.90,6.40
111.48,6.50
109.96,6.60
108.34,6.70
106.62,6.80
104.81,6.90
102.90,7.00
100.89,7.10
98.78,7.20
96.58,7.30
94.28,7.40
91.88,7.50
89.38,7.60
86.78,7.70
84.08,7.80
81.29,7.90
78.40,8.00
75.41,8.10
72.32,8.20
69.14,8.30
65.86,8.40
62.48,8.50
59.00,8.60
55.42,8.70
51.74,8.80
47.97,8.90
44.10,9.00
40.13,9.10
36.06,9.20
31.90,9.30
27.64,9.40
23.28,9.50
18.82,9.60
14.26,9.70
9.60,9.80
4.85,9.90
0.00,10.00
-4.95,10.10
