Position, Time
6.90,0.10
11.70,0.20
16.41,0.30
21.01,0.40
25.52,0.50
29.93,0.60
34.24,0.70
38.46,0.80
42.57,0.90
46.59,1.00
50.51,1.10
54.33,1.20
58.06,1.30
61.68,1.40
65.21,1.50
68.64,1.60
71.97,1.70
75.21,1.80
78.34,1.90
81.38,2.00
84.32,2.10
87.16,2.20
89.91,2.30
92.55,2.40
95.10,2.50
97.55,2.60
99.90,2.70
102.16,2.80
104.31,2.90
106.37,3.00
108.33,3.10
110.19,3.20
111.96,3.30
113.62,3.40
115.19,3.50
116.66,3.60
118.03,3.70
119.31,3.80
120.48,3.90
121.56,4.00
122.54,4.10
123.42,4.20
124.21,4.30
124.89,4.40
125.48,4.50
125.97,4.60
126.36,4.70
126.66,4.80
126.85,4.90
126.95,5.00
126.95,5.10
126.85,5.20
126.66,5.30
126.36,5.40
125.97,5.50
125.48,5.60
124.89,5.70
124.21,5.80
123.42,5.90
122.54,6.00
121.56,6.10
120.48,6.20
119.31,6.30
118.03,6.40
116.66,6.50
115.19,6.60
113.62,6.70
111.96,6.80
110.19,6.90
108.33,7.00
106.37,7.10
104.31,7.20
102.16,7.30
99.90,7.40
97.55,7.50
95.10,7.60
92.55,7.70
89.91,7.80
87.16,7.90
84.32,8.00
81.38,8.10
78.34,8.20
75.21,8.30
71.97,8.40
68.64,8.50
65.21,8.60
61.68,8.70
58.06,8.80
54.33,8.90
50.51,9.00
46.59,9.10
42.57,9.20
38.46,9.30
34.24,9.40
29.93,9.50
25.52,9.60
21.01,9.70
16.41,9.80
11.70,9.90
6.90,10.00
2.00,10.10
-3.00,10.20
